restaurant_id	name	city_id	stars
1	All Spice	4326	1
2	Ame	4326	1
3	Auberge du Soleil	4326	1
4	Aziza	4326	1
5	Bouchon	4326	1
6	Boulevard	4326	1
7	Campton Place	4326	1
8	Chez TJ	4326	1
9	Commis	4326	1
10	Farmhouse Inn & Restaurant	4326	1
11	Gary Danko	4326	1
12	Keiko ˆ Nob Hill	4326	1
13	Kusakabe	4326	1
14	La Folie	4326	1
15	La Toque	4326	1
16	Luce	4326	1
17	Madera	4326	1
18	Madrona Manor	4326	1
19	Maruya	4326	1
20	Michael Mina	4326	1
21	Plumed Horse	4326	1
22	Solbar	4326	1
23	Sons & Daughters	4326	1
24	SPQR	4326	1
25	Spruce	4326	1
26	State Bird Provisions	4326	1
27	Terra	4326	1
28	Terrapin Creek	4326	1
29	Village Pub (The)	4326	1
30	Wakuriya	4326	1
31	Acquerello	4326	2
32	Atelier Crenn	4326	2
33	BaumŽ	4326	2
34	Coi	4326	2
35	Manresa	4326	2
36	Quince	4326	2
37	Benu	4326	3
38	French Laundry (The)	4326	3
39	Restaurant at Meadowood (The)	4326	3
40	Saison	4326	3
41	Ai Fiori	4157	1
42	Aldea	4157	1
43	Andanada	4157	1
44	Aureole	4157	1
45	Babbo	4157	1
46	B‰tard	4157	1
47	Betony	4157	1
48	Blue Hill	4157	1
49	Bouley	4157	1
50	The Breslin	4157	1
51	Brushstroke	4157	1
52	CafŽ Boulud	4157	1
53	CafŽ China	4157	1
54	Carbone	4157	1
55	Casa Enr’que	4157	1
56	Casa Mono	4157	1
57	Caviar Russe	4157	1
58	Danny Brown Wine Bar & Kitchen	4157	1
59	Delaware and Hudson	4157	1
60	Del Posto	4157	1
61	Dovetail	4157	1
62	15 East	4157	1
63	Gotham Bar and Grill	4157	1
64	Gramercy Tavern	4157	1
65	Hakkasan	4157	1
66	Jewel Bako	4157	1
67	Juni	4157	1
68	Junoon	4157	1
69	Kajitsu	4157	1
70	Kyo Ya	4157	1
71	La Vara	4157	1
72	Lincoln	4157	1
73	Luksus at T¿rst	4157	1
74	Meadowsweet	4157	1
75	Minetta Tavern	4157	1
76	The Modern	4157	1
77	The Musket Room	4157	1
78	M. Wells Steakhouse	4157	1
79	NoMad	4157	1
80	Peter Luger	4157	1
81	Picholine	4157	1
82	Piora	4157	1
83	Pok Pok Ny	4157	1
84	Public	4157	1
85	The River CafŽ	4157	1
86	Rosanjin	4157	1
